"STABILITYrrtu","speedrrtu"
1,1.20606423299422
1,1.50186799501868
0.933,1.95014567821301
0.933,2.64960282436011
0.866,2.83286252354049
0.733,2.73395307658256
0.8,3.15751667521806
0.666,2.9038112522686
0.333,3.48365781710914
