"STABILITYrrt","speedrrt"
1,0.950817400942089
1,1.17639838681396
1,1.61066601130499
0.785,1.69001029866117
0.6428,2.26666666666667
0.428,2.52969696969697
0.428,2.70004242681375
0.5,2.68237273874632
0.3571,3.1796218487395
